name property WF d_band_center eg_band_center U_band_center p_band_center PE IE EA d_band_filling eg_band_filling T2g_band_filling d_dos_EF p_band_filling bader_charge aver_bader site_Od iso_corr
Ag100cuscusMOH1 0.4371 6.9050 -2.8465 -2.8266 0.3374 -3.1754 1.9300 7.5760 1.3040 9.5836 3.8046 5.7797 1.2024 4.6158 10.0476 8.5140 3.6937 4.6134
Ag100cuscusRuOH1 0.4875 6.9189 -2.8763 -3.1760 1.1068 -3.0794 2.2000 8.9670 1.5640 6.4523 2.8565 3.5960 1.2800 4.5718 7.1974 8.5446 3.7806 3.9430
Ag110bricusRuOH1 0.2210 6.8543 -2.6096 -3.4634 0.6043 -4.1732 2.2000 8.9670 1.5640 6.9267 1.5812 5.3460 0.8053 4.6623 7.4314 7.8707 3.7777 3.3559
Ag110cuscusMOH1 0.5360 7.2811 -2.7112 -2.6295 0.3991 -3.4570 1.9300 7.5760 1.3040 9.6080 3.6843 5.9228 0.4402 4.6491 10.0568 7.8326 3.4636 3.2382
Ag110cuscusRuOH1 0.3688 7.6125 -2.1849 -3.8255 1.8359 -4.0301 2.2000 8.9670 1.5640 6.7731 1.5940 5.1789 1.0805 4.6609 7.3178 7.8470 3.8582 3.5119
Ag111bricusRuOH1 0.7346 4.6458 -3.6233 -3.9298 0.8215 -3.1254 2.2000 8.9670 1.5640 6.2494 1.9352 4.3147 0.9741 4.5566 7.0319 7.0319 4.2833 2.5960
Ag111cuscusMOH1 0.5468 4.6857 -3.4538 -3.3492 0.6588 -2.9060 1.9300 7.5760 1.3040 9.3329 3.4807 5.8514 0.2119 4.5426 9.8998 9.8998 3.9737 2.3709
Co100cuscusMOH1 0.6523 7.4042 -1.9913 -2.0304 1.1848 -2.6609 1.8800 7.8810 0.6620 6.9580 2.9066 4.0518 0.4494 4.7090 15.4562 11.2971 3.8418 4.8249
Co101cuscusMOH1 0.6179 5.8981 -1.8484 -2.8527 1.1855 -3.5312 1.8800 7.8810 0.6620 6.9941 2.6753 4.3190 1.3199 4.7033 15.4758 11.2511 3.4371 4.2157
Co101cuscusRuOH1 0.4750 5.8947 -2.3754 -2.1253 1.7476 -3.0480 2.2000 8.9670 1.5640 6.5360 2.3611 4.1749 0.6755 4.6521 7.2327 11.3367 3.5159 3.7447
Co110bricusRuOH1 0.3131 7.4613 -1.9144 -1.3386 1.7330 -3.9091 2.2000 8.9670 1.5640 6.9471 1.5424 5.4048 0.8302 4.6955 7.4260 9.3276 3.7674 3.4011
Co110cuscusMOH1 0.6440 7.5284 -1.6735 -1.4326 1.3243 -3.0829 1.8800 7.8810 0.6620 7.1744 2.4048 4.7690 1.1504 4.7804 15.5146 9.2669 3.8320 3.7550
Co110cuscusRuOH1 0.3620 7.4718 -1.9925 -1.3379 1.8325 -3.3781 2.2000 8.9670 1.5640 6.8557 1.6001 5.2553 0.8784 4.7127 7.3507 9.3265 3.6729 2.9677
Co111bricusRuOH1 0.5116 4.5223 -2.2698 -1.7861 2.1815 -3.1788 2.2000 8.9670 1.5640 6.4742 1.8120 4.6624 0.6166 4.6352 7.1720 7.1720 4.2306 2.0737
Co111cuscusMOH1 0.6081 4.4485 -1.7433 -3.0047 1.2484 -2.9860 1.8800 7.8810 0.6620 7.0673 2.3047 4.7629 1.0153 4.6334 15.4526 15.4526 4.1780 2.0072
Cu100cuscusMOH1 0.4334 7.0070 -2.1975 -2.1742 0.3688 -3.2015 1.9000 7.7260 1.2350 9.3372 3.6969 5.6402 0.6287 4.6019 9.9265 8.4342 4.0449 4.7805
Cu100cuscusRuOH1 0.1090 7.0031 -3.2176 -3.2606 0.5360 -3.5438 2.2000 8.9670 1.5640 6.5384 2.7825 3.7562 0.9193 4.5825 7.2025 8.4820 3.5834 3.2724
Cu110cuscusMOH1 0.4856 7.3468 -1.9144 -1.8495 0.2874 -3.6884 1.9000 7.7260 1.2350 9.3926 3.4853 5.9071 0.9657 4.6702 9.8674 7.8496 3.7576 3.6121
Cu110cuscusRuOH1 0.3779 7.3375 -1.9929 -3.6818 2.0223 -3.9803 2.2000 8.9670 1.5640 6.7857 1.6079 5.1778 0.8861 4.6650 7.3098 7.8355 3.6608 2.8829
Cu111bricusRuOH1 0.6102 4.1757 -3.4368 -3.7148 0.8596 -3.0891 2.2000 8.9670 1.5640 6.3133 1.8442 4.4702 0.6751 4.5569 7.0640 7.0640 4.2495 2.0728
Fe100cuscusMOH1 0.4828 7.5816 -1.4742 -1.4873 1.3089 -2.6548 1.8300 7.9020 0.1530 6.0239 2.4741 3.5496 0.4963 4.6453 14.3458 10.7565 3.7911 4.6140
Fe101cuscusMOH1 0.5827 5.9142 -1.5393 -1.4464 1.3029 -3.1129 1.8300 7.9020 0.1530 6.0065 2.3617 3.6448 0.5796 4.6635 14.3379 10.7009 3.4699 4.1391
Fe101cuscusRuOH1 0.4715 5.8170 -2.1856 -1.8862 1.8578 -2.9611 2.2000 8.9670 1.5640 6.6024 2.3221 4.2804 0.8730 4.5997 7.2581 10.7888 3.5084 3.7406
Fe110bricusRuOH1 0.2681 7.3040 -1.9219 -1.3549 1.7468 -3.6000 2.2000 8.9670 1.5640 6.9749 1.5467 5.4288 0.8854 4.6797 7.4358 9.0486 3.7658 3.4129
Fe110cuscusMOH1 0.5999 7.4904 -1.6338 -1.4295 1.2870 -3.0947 1.8300 7.9020 0.1530 5.9950 2.3556 3.6393 0.4121 4.7396 14.3576 8.9805 3.8064 3.6607
Fe110cuscusRuOH1 0.3630 7.5735 -1.9673 -1.3342 1.8110 -3.3923 2.2000 8.9670 1.5640 6.8668 1.5955 5.2715 0.8715 4.6833 7.3618 9.0212 3.7266 3.1656
Fe111cuscusMOH1 0.6271 4.5666 -1.5511 -3.5461 1.3205 -2.5778 1.8300 7.9020 0.1530 5.9785 2.1773 3.8022 0.4016 4.5779 14.3263 14.3263 4.1853 1.9565
Ir100cuscusMOH1 0.3476 7.1963 -1.9020 -1.8787 1.8319 -3.5156 2.2000 8.9670 1.5640 6.8976 2.8282 4.0687 0.9289 4.6404 7.4245 7.2540 3.8111 4.3182
Ir101cuscusMOH1 0.3952 6.4277 -2.0796 -1.8335 1.8685 -3.9582 2.2000 8.9670 1.5640 6.7728 2.3947 4.3784 1.1102 4.6419 7.3549 7.2312 3.4447 3.8470
Ir110cuscusMOH1 0.3431 7.4487 -1.9741 -1.4024 1.6935 -3.8130 2.2000 8.9670 1.5640 6.9825 1.5318 5.4508 0.6373 4.6870 7.4487 7.2694 3.7734 3.3573
Ir111cuscusMOH1 0.4535 5.0196 -3.0222 -3.4708 0.6979 -3.5559 2.2000 8.9670 1.5640 6.6330 1.7757 4.8574 0.8790 4.5942 7.2339 7.2339 4.1918 2.0391
Mn100cuscusMOH1 0.7219 7.3281 -0.9804 -1.0610 1.1739 -3.0811 1.5500 7.4340 -0.5000 5.0837 2.2220 2.8617 4.2270 4.6450 13.2438 10.2206 3.8552 4.6401
Mn100cuscusRuOH1 0.3266 6.9116 -1.8178 -1.8187 1.7024 -3.0166 2.2000 8.9670 1.5640 6.9407 2.9327 4.0082 1.3958 4.6343 7.4715 10.3172 3.7534 4.1439
Mn101cuscusMOH1 0.6722 6.0417 -1.8733 -2.8030 0.4609 -3.9631 1.5500 7.4340 -0.5000 5.1290 1.8410 3.2874 2.4475 4.6626 13.2686 10.1875 3.5161 4.3376
Mn101cuscusRuOH1 0.3994 6.0892 -1.9382 -1.7734 2.0922 -3.1479 2.2000 8.9670 1.5640 6.7387 2.3288 4.4093 0.9313 4.6516 7.3420 10.2445 3.3526 3.5921
Mn110bricusRuOH1 0.2691 7.1767 -1.9215 -1.3510 1.7344 -3.6093 2.2000 8.9670 1.5640 6.9749 1.5468 5.4276 0.7946 4.6983 7.4351 8.7803 3.7639 3.4240
Mn110cuscusMOH1 0.7798 7.5343 -0.5638 -0.1680 1.2808 -3.4061 1.5500 7.4340 -0.5000 5.2798 1.1595 4.1212 2.0960 4.7065 13.3162 8.7548 3.8463 3.8344
Mn111bricusRuOH1 0.4242 4.7130 -2.0384 -3.0367 2.1165 -3.2657 2.2000 8.9670 1.5640 6.6793 1.7705 4.9086 0.6398 4.5870 7.2624 7.2624 4.1616 2.0031
Mn111cuscusMOH1 0.6620 4.6428 -0.8625 -0.4517 1.4356 -3.1019 1.5500 7.4340 -0.5000 5.1392 1.4796 3.6592 2.4700 4.6211 13.2237 13.2237 4.2777 1.9765
Mo100cuscusMOH1 0.4816 6.7511 -0.4598 -1.5024 2.4753 -3.7585 2.1600 7.0920 0.7470 3.6808 1.6228 2.0578 0.6089 4.6112 11.5638 9.4051 3.8314 3.9831
Mo110bricusRuOH1 0.2281 6.8289 -1.9535 -1.4263 1.6983 -3.9468 2.2000 8.9670 1.5640 7.0418 1.5177 5.5237 0.8324 4.6948 7.4915 8.3782 3.7630 3.3877
Mo110cuscusMOH1 0.6803 7.3468 -0.2105 0.8122 2.4528 -4.1087 2.1600 7.0920 0.7470 3.9254 1.0865 2.8387 2.5640 4.6683 11.6360 8.3522 3.8233 3.5141
Mo110cuscusRuOH1 0.3396 7.2153 -2.5490 -3.4294 0.6397 -4.5357 2.2000 8.9670 1.5640 7.1137 1.5789 5.5347 1.5274 4.7170 7.5091 8.3960 3.9001 3.7921
Mo111bricusRuOH1 0.3445 5.5674 -2.0904 -1.8295 1.8463 -3.6431 2.2000 8.9670 1.5640 6.8277 1.6808 5.1470 0.9671 4.5763 7.3494 7.3494 4.1505 2.0104
Mo111cuscusMOH1 0.0276 5.3069 -4.2201 -5.4619 0.2830 -3.9313 2.1600 7.0920 0.7470 3.7243 1.1599 2.5644 0.2095 4.6071 11.5323 11.5323 4.2097 1.9907
Ni100cuscusMOH1 0.5461 7.3403 -1.7313 -1.7386 0.6119 -3.2917 1.9100 7.6400 1.1570 8.2488 3.3543 4.8944 1.1123 4.6328 8.7230 7.8720 3.8398 5.0315
Ni100cuscusRuOH1 0.2829 7.1075 -2.8154 -2.9130 1.1541 -3.3136 2.2000 8.9670 1.5640 6.5669 2.6306 3.9364 1.1362 4.6051 7.2090 7.9665 3.6321 3.8159
Ni110bricusRuOH1 0.3024 7.4226 -2.6494 -3.4226 0.5961 -4.3570 2.2000 8.9670 1.5640 6.9117 1.5538 5.3580 0.8435 4.6688 7.4240 7.5740 3.7937 3.3893
Ni110cuscusMOH1 0.5149 7.3828 -1.7047 -1.5030 0.8978 -3.6686 1.9100 7.6400 1.1570 8.2681 2.5024 5.7655 0.5079 4.6958 8.7322 7.5513 3.8062 3.7390
Ni110cuscusRuOH1 0.3532 7.4018 -2.0504 -3.6085 1.7958 -3.9044 2.2000 8.9670 1.5640 6.8276 1.6010 5.2264 0.8783 4.6635 7.3420 7.6073 3.6751 2.9573
Ni111bricusRuOH1 0.5356 4.1734 -3.2522 -3.5393 0.8905 -3.1067 2.2000 8.9670 1.5640 6.3953 1.8176 4.5775 0.6842 4.5572 7.1233 7.1233 4.2337 1.9487
Ni111cuscusMOH1 0.5360 4.1468 -1.8534 -2.3299 0.8988 -3.0875 1.9100 7.6400 1.1570 8.1715 2.5284 5.6428 1.1713 4.5397 8.6701 8.6701 4.1627 1.9242
Ru100cuscusRuOH1 0.3665 6.9935 -1.8156 -1.8218 1.8552 -3.0553 2.2000 8.9670 1.5640 6.9279 2.9140 4.0152 1.0990 4.6779 7.4392 10.7544 3.8350 4.3394
Ru101cuscusMOH1 0.5751 6.6531 -1.3206 -3.4742 2.0187 -4.1176 2.2000 7.3610 1.0460 5.9813 2.1438 3.8377 1.3637 4.6694 14.2400 10.6743 3.4671 4.0140
Ru101cuscusRuOH1 0.3815 6.7205 -1.9436 -1.8213 2.1370 -3.6446 2.2000 8.9670 1.5640 6.7706 2.3703 4.4004 1.0162 4.6716 7.3663 10.6820 3.3373 3.7447
Ru110bricusRuOH1 0.3507 7.2780 -1.9509 -1.3754 1.7311 -3.7361 2.2000 8.9670 1.5640 6.9827 1.5391 5.4444 0.6323 4.7004 7.4555 9.0188 3.7673 3.3868
Ru110cuscusMOH1 0.6108 7.4371 -1.1917 -0.6084 1.7551 -3.6526 2.2000 7.3610 1.0460 6.2127 1.3449 4.8676 1.3745 4.7063 14.3367 8.9999 3.8004 3.5197
